next_date,asof,ret,n_holdings
2000-02-29,2000-01-31,0.14634218688375125,50
2000-03-31,2000-02-29,0.061452733727950806,50
2000-04-28,2000-03-31,-0.04587303665298874,50
2000-05-31,2000-04-28,-0.017478603690135916,50
2000-06-30,2000-05-31,0.04527699659274402,50
2000-07-31,2000-06-30,-0.03082675965504121,50
2000-08-31,2000-07-31,0.1485224004632141,50
2000-09-29,2000-08-31,-0.04138498284601903,50
2000-10-31,2000-09-29,-0.058435078527804295,50
2000-11-30,2000-10-31,-0.1412775377575696,50
2000-12-29,2000-11-30,0.08720323295124184,50
2001-01-31,2000-12-29,0.04073777679729948,50
2001-02-28,2001-01-31,-0.00390111515514506,50
2001-03-30,2001-02-28,-0.0015293900228930644,50
2001-04-30,2001-03-30,0.04514748564822438,50
2001-05-31,2001-04-30,0.014301464069048447,50
2001-06-29,2001-05-31,-0.040159812649735165,50
2001-07-31,2001-06-29,-0.018869161365045812,50
2001-08-31,2001-07-31,-0.022164728005842516,50
2001-09-28,2001-08-31,-0.10047635113071855,50
2001-10-31,2001-09-28,-0.007605774669199752,50
2001-11-30,2001-10-31,0.06632545488232827,50
2001-12-31,2001-11-30,0.03979664377592035,50
2002-01-31,2001-12-31,-0.0009952236478134278,50
2002-02-28,2002-01-31,-0.007823277388870831,50
2002-03-28,2002-02-28,0.044147477520884264,50
2002-04-30,2002-03-28,0.0006234794701112783,50
2002-05-31,2002-04-30,0.02268166317156009,50
2002-06-28,2002-05-31,-0.049923681176972136,50
2002-07-31,2002-06-28,-0.0850961139763773,50
2002-08-30,2002-07-31,0.018090461329948314,50
2002-09-30,2002-08-30,-0.08163729090727581,50
2002-10-31,2002-09-30,0.03191809702079629,50
2002-11-29,2002-10-31,0.07358348349709129,50
2002-12-31,2002-11-29,-0.0008663528734874507,50
2003-01-31,2002-12-31,-0.0032002412544613907,50
2003-02-28,2003-01-31,-0.01600242284082024,50
2003-03-31,2003-02-28,0.013203141406515888,50
2003-04-30,2003-03-31,0.05942661089816132,50
2003-05-30,2003-04-30,0.09062797940185656,50
2003-06-30,2003-05-30,0.011272555273877044,50
2003-07-31,2003-06-30,-0.023333590631878107,50
2003-08-29,2003-07-31,0.055783652675552194,50
2003-09-30,2003-08-29,0.002601696083320137,50
2003-10-31,2003-09-30,0.10437749571650767,50
2003-11-28,2003-10-31,0.017088347673409245,50
2003-12-31,2003-11-28,0.02390162999600406,50
2004-01-30,2003-12-31,0.03592649750996949,50
2004-02-27,2004-01-30,0.007340877536174578,50
2004-03-31,2004-02-27,0.008937866457610395,50
2004-04-30,2004-03-31,-0.059367436908939905,50
2004-05-28,2004-04-30,0.04692120084571218,50
2004-06-30,2004-05-28,0.053681359019899434,50
2004-07-30,2004-06-30,-0.04548872057494575,50
2004-08-31,2004-07-30,-0.033580963566918,50
2005-01-31,2004-12-31,0.012479445546406124,50
2005-02-28,2005-01-31,0.07477135896075571,50
2005-03-31,2005-02-28,-0.00035316547512088785,50
2005-04-29,2005-03-31,-0.05168081616386436,50
2005-05-31,2005-04-29,0.047721745169907,50
2005-06-30,2005-05-31,0.04836829096508054,50
2005-07-29,2005-06-30,0.07846882810928596,50
2005-08-31,2005-07-29,0.024265737005247204,50
2005-09-30,2005-08-31,0.03958329622981956,50
2005-10-31,2005-09-30,-0.05707641612071227,50
2005-11-30,2005-10-31,0.03619021927331633,50
2005-12-30,2005-11-30,0.03210219325380372,50
2006-01-31,2005-12-30,0.08865241415437974,50
2006-02-28,2006-01-31,-0.05486449599615637,50
2006-03-31,2006-02-28,0.029647953817140863,50
2006-04-28,2006-03-31,0.018681007756178033,50
2006-05-31,2006-04-28,-0.045213690387318345,50
2006-06-30,2006-05-31,-0.010305983316951027,50
2006-07-31,2006-06-30,-0.02321824280098823,50
2006-08-31,2006-07-31,0.0002432620831778697,50
2006-09-29,2006-08-31,0.005787556827259708,50
2006-10-31,2006-09-29,0.05382493741275844,50
2006-11-30,2006-10-31,0.02978406579868873,50
2006-12-29,2006-11-30,0.009133907063094653,50
2007-01-31,2006-12-29,0.02380104654312254,50
2007-02-28,2007-01-31,-0.013578826680623348,50
2007-03-30,2007-02-28,0.009735410448632029,50
2007-04-30,2007-03-30,0.0378897516823094,50
2007-05-31,2007-04-30,0.013345125003098979,50
2007-06-29,2007-05-31,-0.03328296136063942,50
2007-07-31,2007-06-29,-0.047727751632095264,50
2007-08-31,2007-07-31,-0.009404274799885627,50
2007-09-28,2007-08-31,0.06313758718998153,50
2007-10-31,2007-09-28,0.028721895651785456,50
2007-11-30,2007-10-31,-0.0647015596520301,50
2007-12-31,2007-11-30,0.041323471319717885,50
2008-01-31,2007-12-31,-0.114094656723973,50
2008-02-29,2008-01-31,-0.005644444101875807,50
2008-03-31,2008-02-29,-0.014968164808063308,50
2008-04-30,2008-03-31,0.09543793473996842,50
2008-05-30,2008-04-30,0.0479971411835462,50
2008-06-30,2008-05-30,-0.025965372116688465,50
2008-07-31,2008-06-30,-0.10918162026487764,50
2008-08-29,2008-07-31,-0.014105391367009938,50
2008-09-30,2008-08-29,-0.1817208058812011,50
2008-10-31,2008-09-30,-0.2107729889891172,50
2008-11-28,2008-10-31,-0.1195947637528128,50
2008-12-31,2008-11-28,0.005964020443937299,50
2009-01-30,2008-12-31,-0.0303557531933547,50
2009-02-27,2009-01-30,-0.10255943646883044,50
2009-03-31,2009-02-27,0.051401561573092724,50
2009-04-30,2009-03-31,0.01759304548644534,50
2009-05-29,2009-04-30,-0.0010537984589387116,50
2009-06-30,2009-05-29,0.03663772597364848,50
2009-07-31,2009-06-30,0.04508484613576558,50
2009-08-31,2009-07-31,0.019734292274578975,50
2009-09-30,2009-08-31,0.02881493898154101,50
2009-10-30,2009-09-30,-0.02646507383403413,50
2009-11-30,2009-10-30,0.05328399089157985,50
2009-12-31,2009-11-30,0.07018467196082646,50
2010-01-29,2009-12-31,-0.054257236148830296,50
2010-02-26,2010-01-29,0.049393480827624625,50
2010-03-31,2010-02-26,0.10444132815830187,50
2010-04-30,2010-03-31,0.018709189957472932,50
2010-05-28,2010-04-30,-0.09051157077408849,50
2010-06-30,2010-05-28,-0.09773576737574752,50
2010-07-30,2010-06-30,0.07913892709509161,50
2010-08-31,2010-07-30,-0.07409579910695269,50
2010-09-30,2010-08-31,0.12083621408208733,50
2010-10-29,2010-09-30,0.04147549104275286,50
2010-11-30,2010-10-29,0.021734088639307692,50
2010-12-31,2010-11-30,0.08839785047682334,50
2011-01-31,2010-12-31,0.02018988979859777,50
2011-02-28,2011-01-31,0.04698038148801238,50
2011-03-31,2011-02-28,0.01494752578399834,50
2011-04-29,2011-03-31,0.02188156339548966,50
2011-05-31,2011-04-29,0.003024788714288509,50
2011-06-30,2011-05-31,-0.008823659717644806,50
2011-07-29,2011-06-30,-0.026654193121754075,50
2011-08-31,2011-07-29,-0.08808397606737303,50
2011-09-30,2011-08-31,-0.1653473831166505,50
2011-10-31,2011-09-30,0.21420568008151708,50
2011-11-30,2011-10-31,-0.02821418338666524,50
2011-12-30,2011-11-30,-0.017798428040370774,50
2012-01-31,2011-12-30,0.03192853913031418,50
2012-02-29,2012-01-31,0.06539809018055955,50
2012-03-30,2012-02-29,0.031206002280178106,50
2012-04-30,2012-03-30,0.022554531495526327,50
2012-05-31,2012-04-30,-0.05853209046837128,50
2012-06-29,2012-05-31,0.027045561451596454,50
2012-07-31,2012-06-29,0.017311895043037262,50
2012-08-31,2012-07-31,0.026674994605319215,50
2012-09-28,2012-08-31,0.026538467945970236,50
2012-10-31,2012-09-28,-0.009098986087098096,50
2012-11-30,2012-10-31,0.023055134381316716,50
2012-12-31,2012-11-30,0.02037627149011942,50
2013-01-31,2012-12-31,0.07750573073920208,50
2013-02-28,2013-01-31,0.022145139775249432,50
2013-03-28,2013-02-28,0.054832720326823056,50
2013-04-30,2013-03-28,0.028553788921628936,50
2013-05-31,2013-04-30,0.034019388638397326,50
2013-06-28,2013-05-31,-0.03440231433089916,50
2013-07-31,2013-06-28,0.06574502051118346,50
2013-08-30,2013-07-31,-0.0344171927985605,50
2013-09-30,2013-08-30,0.045221709557426326,50
2013-10-31,2013-09-30,0.05075488668865254,50
2013-11-29,2013-10-31,0.057223194835010226,50
2013-12-31,2013-11-29,0.016990691508470344,50
2014-01-31,2013-12-31,-0.02292902790808308,50
2014-02-28,2014-01-31,0.057987290594664585,50
2014-03-31,2014-02-28,0.01284334991072872,50
2014-04-30,2014-03-31,-0.0038080860186726446,50
2014-05-30,2014-04-30,0.029198835769086183,50
2014-06-30,2014-05-30,0.04075557433332677,50
2014-07-31,2014-06-30,-0.029338819803128947,50
2014-08-29,2014-07-31,0.055649767184318015,50
2014-09-30,2014-08-29,-0.027315537367118614,50
2014-10-31,2014-09-30,0.02275138856317589,50
2014-11-28,2014-10-31,0.029482885249177495,50
2014-12-31,2014-11-28,-0.014424260868023455,50
2015-01-30,2014-12-31,-0.011903123426620019,50
2015-02-27,2015-01-30,0.0585823047101652,50
2015-03-31,2015-02-27,-0.00702512162766642,50
2015-04-30,2015-03-31,-0.019004525996744487,50
2015-05-29,2015-04-30,0.032124155216502394,50
2015-06-30,2015-05-29,-0.01002372550986001,50
2015-07-31,2015-06-30,0.009152406042132097,50
2015-08-31,2015-07-31,-0.04997373002394821,50
2015-09-30,2015-08-31,-0.006305195886135607,50
2015-10-30,2015-09-30,0.06511927100627565,50
2015-11-30,2015-10-30,0.0038539192963795775,50
2015-12-31,2015-11-30,-0.01064819428063557,50
2016-01-29,2015-12-31,-0.05287498593531297,50
2016-02-29,2016-01-29,0.008817506310640863,50
2016-03-31,2016-02-29,0.062284117314073933,50
2016-04-29,2016-03-31,-0.01647352464804927,50
2016-05-31,2016-04-29,0.023563524959311546,50
2016-06-30,2016-05-31,0.03421029775170118,50
2016-07-29,2016-06-30,0.028194270871709698,50
2016-08-31,2016-07-29,-0.017938922961391757,50
2016-09-30,2016-08-31,0.0024937523987469262,50
2016-10-31,2016-09-30,-0.026998645766259193,50
2016-11-30,2016-10-31,0.01899615751389351,50
2016-12-30,2016-11-30,0.030583322335613713,50
2017-01-31,2016-12-30,0.03460529321952342,50
2017-02-28,2017-01-31,0.01893195017560887,50
2017-03-31,2017-02-28,7.657810151886807e-05,50
2017-04-28,2017-03-31,-0.006519735131406434,50
2017-05-31,2017-04-28,0.003786703015517073,50
2017-06-30,2017-05-31,0.00717476088041075,50
2017-07-31,2017-06-30,0.03246378241715492,50
2017-08-31,2017-07-31,-0.018799670609019537,50
2017-09-29,2017-08-31,0.054928092115728876,50
2017-10-31,2017-09-29,0.024536311450443753,50
2017-11-30,2017-10-31,0.039555252104714236,50
2017-12-29,2017-11-30,0.018126274470273353,50
2018-01-31,2017-12-29,0.050790512276547045,50
2018-02-28,2018-01-31,-0.036608500696897917,50
2018-03-29,2018-02-28,0.008143126899694524,50
2018-04-30,2018-03-29,-0.01061243122982514,50
2018-05-31,2018-04-30,0.032290308548283346,50
2018-06-29,2018-05-31,-0.016900956026096692,50
2018-07-31,2018-06-29,0.026784973188147033,50
2018-08-31,2018-07-31,0.022724502326421488,50
2018-09-28,2018-08-31,-0.015596923247658805,50
2018-10-31,2018-09-28,-0.10994155836791712,50
2018-11-30,2018-10-31,-0.01095332531216962,50
2018-12-31,2018-11-30,-0.11434320288831579,50
2019-01-31,2018-12-31,0.09319956266035492,50
2019-02-28,2019-01-31,0.016144063487332303,50
2019-03-29,2019-02-28,-0.003841219000192665,50
2019-04-30,2019-03-29,0.00658909140699686,50
2019-05-31,2019-04-30,-0.0457808653372934,50
2019-06-28,2019-05-31,0.06876802058328582,50
2019-07-31,2019-06-28,0.009788734204695856,50
2019-08-30,2019-07-31,-0.04103593944861572,50
2019-09-30,2019-08-30,0.018460151154903733,50
2019-10-31,2019-09-30,-0.0059952328480307685,50
2019-11-29,2019-10-31,0.023642242060088844,50
2019-12-31,2019-11-29,0.024764417131871296,50
2020-01-31,2019-12-31,0.004909488513447427,50
2020-02-28,2020-01-31,-0.09284184782648719,50
2020-03-31,2020-02-28,-0.17219508139199224,50
2020-04-30,2020-03-31,0.13383412301118067,50
2020-05-29,2020-04-30,0.05998547806009642,50
2020-06-30,2020-05-29,-0.008160803899368923,50
2020-07-31,2020-06-30,0.06046745870506898,50
2020-08-31,2020-07-31,0.02499109685955091,50
2020-09-30,2020-08-31,-0.03293630892559554,50
2020-10-30,2020-09-30,-0.03427257000902466,50
2020-11-30,2020-10-30,0.10026488290611126,50
2020-12-31,2020-11-30,0.020539330939776196,50
2021-01-29,2020-12-31,0.03838841201538984,50
2021-02-26,2021-01-29,0.05178981921725066,50
2021-03-31,2021-02-26,0.020092313232693663,50
2021-04-30,2021-03-31,0.03268547734913716,50
2021-05-28,2021-04-30,0.03855646057122651,50
2021-06-30,2021-05-28,0.012955335335880652,50
2021-07-30,2021-06-30,-0.02799232349775577,50
2021-08-31,2021-07-30,0.030340784361296422,50
2021-09-30,2021-08-31,-0.0002811159134058685,50
2021-10-29,2021-09-30,0.04519775822087544,50
2021-11-30,2021-10-29,-0.03240832302325394,50
2021-12-31,2021-11-30,0.0481739336436871,50
2022-01-31,2021-12-31,0.006903267544784996,50
2022-02-28,2022-01-31,0.01668266994366976,50
2022-03-31,2022-02-28,0.07442926899939864,50
2022-04-29,2022-03-31,-0.04386560021708414,50
2022-05-31,2022-04-29,0.0709070358880934,50
2022-06-30,2022-05-31,-0.1323934529583355,50
2022-07-29,2022-06-30,0.09022497009067466,50
2022-08-31,2022-07-29,0.00810116510229162,50
2022-09-30,2022-08-31,-0.09455420038279702,50
2022-10-31,2022-09-30,0.17683758938674438,50
2022-11-30,2022-10-31,0.021416151535393203,50
2022-12-30,2022-11-30,-0.06097193482896307,50
2023-01-31,2022-12-30,0.05060910996403106,50
2023-02-28,2023-01-31,-0.04640140988107064,50
2023-03-31,2023-02-28,-0.00417536336409113,50
2023-04-28,2023-03-31,-0.009751097373791352,50
2023-05-31,2023-04-28,-0.05173123657005651,50
2023-06-30,2023-05-31,0.07752339268601319,50
2023-07-31,2023-06-30,0.02140987468848692,50
2023-08-31,2023-07-31,-0.038496402129975946,50
2023-09-29,2023-08-31,-0.05834019646827771,50
2023-10-31,2023-09-29,-0.06300968227054833,50
2023-11-30,2023-10-31,0.1192106537504771,50
2023-12-29,2023-11-30,0.0885849134844125,50
2024-01-31,2023-12-29,0.039307913007725126,50
2024-02-29,2024-01-31,0.08391130932723237,50
2024-03-28,2024-02-29,0.04996969621376176,50
2024-04-30,2024-03-28,-0.07023447630877062,50
2024-05-31,2024-04-30,0.05161370633718021,50
2024-06-28,2024-05-31,0.000594906018416065,50
2024-07-31,2024-06-28,0.037638729578603564,50
2024-08-30,2024-07-31,0.022874154496037503,50
2024-09-30,2024-08-30,0.03895643606045698,50
2024-10-31,2024-09-30,0.0037983801265727784,50
2024-11-29,2024-10-31,0.08951468649518028,50
2024-12-31,2024-11-29,-0.06822436670936104,50
